player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
Jimmy Graham,TE,1.0,21.0,28.0,0.0,5.0,5.0,5.0,8.1,38.6,13,2021,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,CHI,ARI,True
Cole Kmet,TE,1.0,55.0,72.0,0.0,13.0,5.0,13.0,4.1,7.5,13,2021,3.0,7.0,41.0,13.7,24.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,ARI,True
Rob Gronkowski,TE,1.0,58.0,83.0,0.0,14.0,7.0,14.0,17.8,30.7,13,2021,4.0,8.0,58.0,14.5,27.0,0.0,2.0,0.0,0.0,0.0,0.0,TB,ATL,False
Cameron Brate,TE,1.0,13.0,19.0,0.0,8.0,8.0,8.0,6.3,48.5,13,2021,1.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,TB,ATL,False
Kyle Rudolph,TE,1.0,27.0,42.0,0.0,15.0,7.0,15.0,1.8,6.7,13,2021,2.0,4.0,18.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,MIA,False
Evan Engram,TE,1.0,53.0,82.0,0.0,9.0,8.0,9.0,6.1,11.5,13,2021,4.0,5.0,61.0,15.3,18.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,MIA,False
Luke Stocker,TE,1.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,DET,False
Tyler Conklin,TE,1.0,72.0,95.0,0.0,13.0,10.0,13.0,5.6,7.8,13,2021,7.0,9.0,56.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,DET,False
Lee Smith,TE,1.0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,TB,True
Kyle Pitts,TE,1.0,67.0,94.0,0.0,10.0,6.0,10.0,4.8,7.2,13,2021,4.0,7.0,48.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,TB,True
Travis Kelce,TE,1.0,44.0,77.0,0.0,18.0,7.0,18.0,2.7,6.1,13,2021,3.0,8.0,27.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,DEN,True
Zach Ertz,TE,1.0,41.0,77.0,0.0,5.0,2.0,5.0,1.0,2.4,13,2021,1.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,CHI,False
Demetrius Harris,TE,1.0,17.0,32.0,0.0,12.0,12.0,12.0,0.7,4.1,13,2021,2.0,2.0,7.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,CHI,False
