player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Kyle Rudolph,TE,MIN,1.0,60.0,60.0,98.0,0.0,5.0,5.0,5.0,3.8,6.3,13,2018
Lance Kendricks,TE,GB,1.0,12.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Luke Stocker,TE,TEN,1.0,25.0,25.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Anthony Sherman,RB,KC,1.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Dion Lewis,RB,TEN,1.0,40.0,40.0,59.0,15.0,8.0,20.0,23.0,3.4,8.5,13,2018
Lee Smith,TE,OAK,1.0,17.0,17.0,22.0,0.0,6.0,6.0,6.0,6.1,35.9,13,2018
Dwayne Harris,WR,OAK,1.0,7.0,7.0,9.0,0.0,14.0,14.0,14.0,0.9,12.9,13,2018
Virgil Green,TE,LAC,1.0,41.0,41.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Robert Griffin III,QB,BAL,1.0,16.0,16.0,20.0,0.0,0.0,25.0,25.0,0.8,5.0,13,2018
Ryan Tannehill,QB,MIA,1.0,55.0,55.0,98.0,5.0,0.0,49.0,49.0,15.0,27.3,13,2018
Kirk Cousins,QB,MIN,1.0,61.0,61.0,100.0,0.0,0.0,72.0,72.0,8.0,13.1,13,2018
Russell Wilson,QB,SEA,1.0,58.0,58.0,98.0,7.0,0.0,36.0,36.0,24.8,42.8,13,2018
Lamar Miller,RB,HOU,1.0,41.0,41.0,53.0,46.0,2.0,49.0,49.0,11.5,28.0,13,2018
Alshon Jeffery,WR,PHI,1.0,66.0,66.0,88.0,0.0,8.0,5.0,8.0,3.1,4.7,13,2018
Mohamed Sanu Sr.,WR,ATL,1.0,44.0,44.0,83.0,0.0,9.0,9.0,11.0,3.7,8.4,13,2018
T.Y. Hilton,WR,IND,1.0,66.0,66.0,87.0,0.0,20.0,12.0,20.0,7.7,11.7,13,2018
Travis Benjamin,WR,LAC,1.0,28.0,28.0,45.0,4.0,7.0,11.0,11.0,10.5,37.5,13,2018
Rhett Ellison,TE,NYG,1.0,68.0,68.0,93.0,0.0,10.0,6.0,10.0,4.2,6.2,13,2018
Brandon Bolden,RB,MIA,1.0,3.0,3.0,5.0,33.0,0.0,33.0,33.0,1.0,33.3,13,2018
Derek Carrier,TE,OAK,1.0,14.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Case Keenum,QB,DEN,1.0,59.0,59.0,98.0,3.0,0.0,39.0,39.0,10.9,18.5,13,2018
Josh Gordon,WR,NE,1.0,48.0,48.0,65.0,0.0,6.0,6.0,6.0,11.8,24.6,13,2018
Cole Beasley,WR,DAL,1.0,47.0,47.0,66.0,0.0,6.0,4.0,6.0,0.9,1.9,13,2018
Chris Hogan,WR,NE,1.0,32.0,32.0,43.0,0.0,6.0,6.0,6.0,2.0,6.3,13,2018
Garrett Celek,TE,SF,1.0,16.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Jermaine Kearse,WR,NYJ,1.0,48.0,48.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Josh Bellamy,WR,CHI,1.0,20.0,20.0,24.0,0.0,5.0,5.0,5.0,0.8,4.0,13,2018
Travis Kelce,TE,KC,1.0,69.0,69.0,96.0,0.0,19.0,17.0,19.0,26.8,38.8,13,2018
Russell Shepard,WR,NYG,1.0,7.0,7.0,10.0,0.0,29.0,29.0,29.0,11.9,170.0,13,2018
DeAndre Hopkins,WR,HOU,1.0,75.0,75.0,97.0,0.0,16.0,9.0,16.0,9.1,12.1,13,2018
Robert Woods,WR,LAR,1.0,66.0,66.0,96.0,3.0,14.0,11.0,17.0,13.8,20.9,13,2018
Kenny Stills,WR,MIA,1.0,48.0,48.0,86.0,0.0,13.0,8.0,13.0,9.7,20.2,13,2018
Cordarrelle Patterson,RB,NE,1.0,8.0,8.0,11.0,13.0,25.0,38.0,38.0,5.9,73.8,13,2018
Keenan Allen,WR,LAC,1.0,57.0,57.0,92.0,0.0,33.0,25.0,33.0,22.8,40.0,13,2018
Giovani Bernard,RB,CIN,1.0,28.0,28.0,41.0,18.0,29.0,39.0,46.0,4.6,16.4,13,2018
Theo Riddick,RB,DET,1.0,38.0,38.0,53.0,21.0,11.0,29.0,32.0,5.8,15.3,13,2018
Chris Thompson,RB,WAS,1.0,29.0,29.0,63.0,10.0,17.0,21.0,28.0,2.1,7.2,13,2018
Rex Burkhead,RB,NE,1.0,17.0,17.0,23.0,41.0,12.0,53.0,53.0,4.1,24.1,13,2018
Geno Smith,QB,LAC,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Zach Ertz,TE,PHI,1.0,59.0,59.0,79.0,0.0,17.0,15.0,17.0,8.3,14.1,13,2018
Jordan Reed,TE,WAS,1.0,31.0,31.0,67.0,0.0,16.0,13.0,16.0,2.1,6.8,13,2018
Levine Toilolo,TE,DET,1.0,54.0,54.0,75.0,0.0,11.0,7.0,11.0,9.0,16.7,13,2018
Vance McDonald,TE,PIT,1.0,44.0,44.0,64.0,0.0,16.0,9.0,16.0,2.8,6.4,13,2018
Kyle Juszczyk,RB,SF,1.0,39.0,39.0,51.0,0.0,8.0,8.0,8.0,2.0,5.1,13,2018
Luke Willson,TE,DET,1.0,50.0,50.0,69.0,0.0,4.0,2.0,4.0,0.8,1.6,13,2018
Latavius Murray,RB,MIN,1.0,12.0,12.0,20.0,33.0,17.0,50.0,50.0,1.4,11.7,13,2018
Ryan Griffin,TE,HOU,1.0,61.0,61.0,79.0,0.0,2.0,2.0,2.0,1.2,2.0,13,2018
Demetrius Harris,TE,KC,1.0,31.0,31.0,43.0,0.0,19.0,10.0,19.0,9.9,31.9,13,2018
Zach Line,RB,NO,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
James Develin,RB,NE,1.0,35.0,35.0,47.0,11.0,3.0,14.0,14.0,13.4,38.3,13,2018
Patrick DiMarco,RB,BUF,1.0,10.0,10.0,14.0,0.0,10.0,10.0,10.0,3.8,38.0,13,2018
Derek Carr,QB,OAK,1.0,76.0,76.0,100.0,1.0,0.0,51.0,51.0,24.2,31.8,13,2018
Carlos Hyde,RB,JAC,1.0,23.0,23.0,40.0,57.0,4.0,61.0,61.0,1.7,7.4,13,2018
Mike Evans,WR,TB,1.0,57.0,57.0,88.0,0.0,11.0,7.0,11.0,4.8,8.4,13,2018
Brandin Cooks,WR,LAR,1.0,66.0,66.0,96.0,0.0,9.0,6.0,9.0,6.2,9.4,13,2018
Davante Adams,WR,GB,1.0,72.0,72.0,95.0,0.0,18.0,11.0,18.0,15.3,21.3,13,2018
Jordan Matthews,WR,PHI,1.0,21.0,21.0,28.0,0.0,10.0,5.0,10.0,6.4,30.5,13,2018
Donte Moncrief,WR,JAC,1.0,45.0,45.0,78.0,0.0,9.0,7.0,9.0,4.0,8.9,13,2018
Allen Robinson II,WR,CHI,1.0,70.0,70.0,83.0,0.0,13.0,7.0,13.0,7.9,11.3,13,2018
Odell Beckham Jr.,WR,NYG,1.0,67.0,67.0,92.0,0.0,13.0,6.0,15.0,15.5,23.1,13,2018
Jarvis Landry,WR,CLE,1.0,46.0,46.0,81.0,0.0,20.0,13.0,20.0,10.3,22.4,13,2018
Eric Ebron,TE,IND,1.0,58.0,58.0,76.0,2.0,28.0,19.0,29.0,5.2,9.0,13,2018
Trey Burton,TE,CHI,1.0,68.0,68.0,81.0,0.0,1.0,0.0,1.0,0.0,0.0,13,2018
James White,RB,NE,1.0,33.0,33.0,45.0,18.0,27.0,39.0,45.0,11.8,35.8,13,2018
John Brown,WR,BAL,1.0,43.0,43.0,52.0,0.0,9.0,0.0,9.0,0.0,0.0,13,2018
Richard Rodgers,TE,PHI,1.0,10.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
Ryan Grant,WR,IND,1.0,42.0,42.0,55.0,0.0,5.0,0.0,5.0,0.0,0.0,13,2018
