player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
John Bates,0.7,5.9,0.0,0.1,0.7,WAS,3,TE
Ross Dwelley,0.5,5.2,0.0,0.0,0.7,SF,3,TE
Deon Yelder,0.6,5.5,0.0,0.0,0.7,ARI,3,TE
Adam Shaheen,0.4,5.1,0.0,0.1,0.6,MIA,3,TE
Jody Fortson,0.4,4.3,0.0,0.0,0.6,KC,3,TE
Andrew Beck,0.3,2.7,0.1,0.0,0.6,DEN,3,TE
Kaden Smith,0.5,4.2,0.0,0.0,0.5,NYG,3,TE
Darrell Daniels,0.4,4.5,0.0,0.0,0.5,ARI,3,TE
Johnny Mundt,0.4,4.2,0.0,0.0,0.4,LAR,3,TE
Cethan Carter,0.2,2.0,0.0,0.0,0.4,MIA,3,TE
Charlie Woerner,0.3,3.3,0.0,0.0,0.3,SF,3,TE
Demetrius Harris,0.3,2.8,0.0,0.0,0.3,ARI,3,TE
Zach Gentry,0.4,3.3,0.0,0.0,0.3,PIT,3,TE
J.P. Holtz,0.3,3.3,0.0,0.0,0.3,CHI,3,TE
Jesse James,0.4,3.3,0.0,0.0,0.3,CHI,3,TE
Garrett Griffin,0.3,3.3,0.0,0.0,0.3,NO,3,TE
Nick Boyle,0.2,1.9,0.0,0.0,0.3,BAL,3,TE
Kylen Granson,0.2,3.0,0.0,0.0,0.3,IND,3,TE
Jack Stoll,0.3,3.0,0.0,0.0,0.3,PHI,3,TE
Trevon Wesco,0.2,2.6,0.0,0.0,0.3,NYJ,3,TE
Antony Auclair,0.2,2.2,0.0,0.0,0.2,HOU,3,TE
Mitchell Wilcox,0.2,2.0,0.0,0.0,0.2,CIN,3,TE
Tyler Mabry,0.2,2.0,0.0,0.0,0.2,SEA,3,TE
Eric Tomlinson,0.2,2.0,0.0,0.0,0.2,BAL,3,TE
Brandon Dillon,0.1,1.3,0.0,0.0,0.2,NYJ,3,TE
Daniel Brown,0.1,1.2,0.0,0.0,0.1,NYJ,3,TE
Colby Parkinson,0.1,0.5,0.0,0.0,0.1,SEA,3,TE
Jeremy Sprinkle,0.1,0.8,0.0,0.0,0.1,DAL,3,TE
Hunter Bryant,0.1,0.6,0.0,0.0,0.1,DET,3,TE
Richard Rodgers,0.0,0.6,0.0,0.0,0.1,PHI,3,TE
Jared Pinkney,0.1,0.6,0.0,0.0,0.1,DET,3,TE
Jason Croom,0.0,0.5,0.0,0.0,0.1,PHI,3,TE
Nick Vannett,0.0,0.5,0.0,0.0,0.0,NO,3,TE
Travis Kelce,7.0,89.9,0.8,0.1,13.5,KC,4,TE
Darren Waller,6.7,79.3,0.6,0.1,11.7,LV,4,TE
George Kittle,5.5,70.8,0.6,0.1,10.4,SF,4,TE
Rob Gronkowski,4.0,48.0,0.8,0.0,9.6,TB,4,TE
Mark Andrews,4.6,55.7,0.5,0.0,8.4,BAL,4,TE
T.J. Hockenson,5.1,57.4,0.4,0.0,8.3,DET,4,TE
Noah Fant,4.6,50.9,0.4,0.0,7.5,DEN,4,TE
Tyler Higbee,3.7,40.2,0.4,0.0,6.6,LAR,4,TE
Logan Thomas,4.3,44.6,0.3,0.0,6.3,WAS,4,TE
Kyle Pitts,4.3,48.9,0.2,0.0,6.1,ATL,4,TE
Jared Cook,3.4,42.6,0.3,0.0,6.0,LAC,4,TE
Dallas Goedert,3.5,41.9,0.3,0.0,5.9,PHI,4,TE
Austin Hooper,3.5,38.5,0.3,0.0,5.5,CLE,4,TE
Dawson Knox,3.0,35.6,0.3,0.0,5.4,BUF,4,TE
Dalton Schultz,3.5,35.4,0.3,0.0,5.3,DAL,4,TE
Mike Gesicki,3.4,38.5,0.2,0.0,5.3,MIA,4,TE
Robert Tonyan,3.0,34.1,0.3,0.0,5.3,GB,4,TE
Hunter Henry,3.5,38.6,0.2,0.0,5.1,NE,4,TE
Tyler Conklin,3.1,33.4,0.2,0.0,4.7,MIN,4,TE
Cameron Brate,3.2,31.4,0.2,0.0,4.3,TB,4,TE
Jonnu Smith,3.0,31.3,0.2,0.0,4.3,NE,4,TE
Zach Ertz,2.6,29.8,0.2,0.0,4.1,ARI,4,TE
Anthony Firkser,2.6,30.6,0.2,0.0,4.0,TEN,4,TE
Adam Trautman,2.3,26.3,0.2,0.0,3.9,NO,4,TE
Evan Engram,2.9,31.2,0.1,0.1,3.8,NYG,4,TE
Cole Kmet,2.6,28.8,0.2,0.0,3.8,CHI,4,TE
Jack Doyle,2.5,27.8,0.2,0.0,3.7,IND,4,TE
Will Dissly,2.5,27.4,0.2,0.0,3.7,SEA,4,TE
Pat Freiermuth,2.6,27.2,0.2,0.0,3.6,PIT,4,TE
O.J. Howard,1.9,25.6,0.2,0.0,3.6,TB,4,TE
David Njoku,2.1,28.0,0.1,0.0,3.6,CLE,4,TE
C.J. Uzomah,2.3,23.5,0.2,0.0,3.3,CIN,4,TE
Albert Okwuegbunam,2.3,23.6,0.2,0.1,3.2,DEN,4,TE
Blake Jarwin,2.2,23.4,0.1,0.0,3.2,DAL,4,TE
Pharaoh Brown,2.1,24.7,0.1,0.0,3.1,HOU,4,TE
