player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Jordan Howard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,RB,1,2021
Alvin Kamara,15.8,73.8,0.7,5.3,45.4,0.3,0.1,17.6,NO,RB,2,2021
Nick Chubb,19.6,100.1,1.0,1.7,14.7,0.1,0.1,17.6,CLE,RB,2,2021
Christian McCaffrey,18.7,77.5,0.7,5.7,45.3,0.2,0.1,17.3,CAR,RB,2,2021
Dalvin Cook,19.9,91.6,0.7,3.7,31.9,0.1,0.2,17.1,MIN,RB,2,2021
Derrick Henry,21.8,101.4,0.8,1.8,14.6,0.1,0.1,16.6,TEN,RB,2,2021
Aaron Jones,15.1,76.4,0.8,3.5,30.1,0.2,0.1,16.2,GB,RB,2,2021
Najee Harris,18.7,79.2,0.7,3.0,25.1,0.1,0.2,15.0,PIT,RB,2,2021
Austin Ekeler,13.5,58.4,0.5,5.0,40.2,0.3,0.1,14.5,LAC,RB,2,2021
Chris Carson,16.5,75.8,0.6,3.0,22.9,0.2,0.1,14.4,SEA,RB,2,2021
Antonio Gibson,18.6,76.1,0.7,3.1,22.8,0.1,0.1,14.3,WAS,RB,2,2021
David Montgomery,17.8,75.8,0.6,2.8,21.1,0.1,0.1,14.0,CHI,RB,2,2021
Ezekiel Elliott,15.8,69.1,0.6,3.2,24.0,0.1,0.1,13.7,DAL,RB,2,2021
Joe Mixon,17.7,71.0,0.5,3.5,25.7,0.1,0.1,13.4,CIN,RB,2,2021
Jonathan Taylor,15.7,66.5,0.6,2.8,23.2,0.1,0.1,13.0,IND,RB,2,2021
D'Andre Swift,11.8,51.3,0.5,4.5,39.4,0.2,0.1,12.9,DET,RB,2,2021
Darrell Henderson Jr.,17.2,67.4,0.6,2.0,17.6,0.1,0.1,12.4,LAR,RB,2,2021
Damien Harris,18.7,78.8,0.6,1.0,8.5,0.0,0.1,12.3,NE,RB,2,2021
Miles Sanders,13.6,60.9,0.5,2.8,23.5,0.1,0.1,11.8,PHI,RB,2,2021
Elijah Mitchell,15.4,69.6,0.6,1.1,10.0,0.0,0.1,11.6,SF,RB,2,2021
Melvin Gordon III,13.3,61.5,0.6,2.2,15.2,0.1,0.1,11.4,DEN,RB,2,2021
Kareem Hunt,9.5,42.9,0.6,2.6,23.7,0.2,0.1,10.9,CLE,RB,2,2021
Clyde Edwards-Helaire,14.1,57.4,0.3,3.2,25.8,0.1,0.1,10.8,KC,RB,2,2021
Saquon Barkley,12.7,55.7,0.4,2.8,21.2,0.1,0.1,10.7,NYG,RB,2,2021
Myles Gaskin,12.0,53.0,0.3,3.4,26.7,0.1,0.1,10.5,MIA,RB,2,2021
Kenyan Drake,13.0,53.4,0.3,3.3,23.1,0.1,0.1,10.1,LV,RB,2,2021
James Robinson,11.4,50.8,0.3,3.2,23.9,0.1,0.1,9.9,JAC,RB,2,2021
Mike Davis,13.2,48.9,0.3,3.6,23.5,0.1,0.1,9.5,ATL,RB,2,2021
Ty'Son Williams,10.9,50.9,0.4,1.8,14.2,0.1,0.1,9.4,BAL,RB,2,2021
Chase Edmonds,10.4,43.8,0.2,3.5,28.7,0.2,0.1,9.3,ARI,RB,2,2021
Javonte Williams,12.9,52.0,0.4,1.4,12.1,0.1,0.1,9.3,DEN,RB,2,2021
Leonard Fournette,11.8,46.7,0.4,2.6,17.9,0.1,0.1,9.0,TB,RB,2,2021
Devin Singletary,12.3,47.7,0.2,2.3,16.3,0.1,0.1,7.9,BUF,RB,2,2021
Ronald Jones II,10.4,43.0,0.5,0.7,5.0,0.0,0.1,7.7,TB,RB,2,2021
James Conner,11.0,46.2,0.3,1.4,10.5,0.0,0.1,7.4,ARI,RB,2,2021
Jamaal Williams,9.3,37.0,0.2,2.6,18.7,0.1,0.1,6.9,DET,RB,2,2021
Nyheim Hines,5.7,21.8,0.1,3.8,28.1,0.1,0.1,6.5,IND,RB,2,2021
Mark Ingram II,11.0,41.3,0.2,0.9,6.9,0.0,0.1,6.3,NO,RB,2,2021
James White,3.8,14.2,0.1,4.1,32.0,0.2,0.1,6.3,NE,RB,2,2021
AJ Dillon,8.9,39.2,0.3,0.6,5.9,0.0,0.1,6.0,GB,RB,2,2021
Latavius Murray,9.1,37.1,0.2,0.9,6.4,0.0,0.1,5.8,BAL,RB,2,2021
Damien Williams,5.9,25.2,0.2,2.0,15.3,0.1,0.1,5.6,CHI,RB,2,2021
Tevin Coleman,9.8,36.9,0.2,1.0,7.8,0.0,0.1,5.6,NYJ,RB,2,2021
Tony Pollard,5.5,24.8,0.2,1.8,13.8,0.1,0.0,5.2,DAL,RB,2,2021
Carlos Hyde,8.5,32.3,0.2,1.2,7.7,0.0,0.1,4.9,JAC,RB,2,2021
Tony Jones Jr.,7.3,27.8,0.2,1.1,8.8,0.1,0.0,4.9,NO,RB,2,2021
Kenneth Gainwell,6.1,23.0,0.2,1.4,11.5,0.1,0.0,4.6,PHI,RB,2,2021
J.D. McKissic,3.7,16.2,0.1,2.9,21.9,0.1,0.1,4.6,WAS,RB,2,2021
Peyton Barber,9.1,29.2,0.2,0.6,4.9,0.0,0.1,4.5,LV,RB,2,2021
Larry Rountree III,6.4,25.4,0.2,0.8,6.5,0.0,0.1,4.5,LAC,RB,2,2021
Ty Johnson,5.4,23.5,0.1,1.8,13.6,0.1,0.1,4.5,NYJ,RB,2,2021
Michael Carter,6.2,23.5,0.1,1.2,9.4,0.0,0.0,4.1,NYJ,RB,2,2021
Cordarrelle Patterson,4.7,18.4,0.1,1.3,11.4,0.1,0.0,4.1,ATL,RB,2,2021
David Johnson,3.7,14.0,0.1,2.3,17.7,0.1,0.0,4.1,HOU,RB,2,2021
