player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
Tom Kennedy,WR,DET,1,14,14,23,0,7,0,7,0.0,0.0,8,2014
D'Ernest Johnson,RB,CLE,1,18,18,31,22,17,28,39,8.9,49.4,8,2014
Derrick Gore,RB,KC,1,16,16,20,69,0,69,69,10.8,67.5,8,2014
Joe Burrow,QB,CIN,1,55,55,100,2,0,64,64,21.3,38.7,8,2014
Tua Tagovailoa,QB,MIA,1,69,69,100,6,0,62,62,16.2,23.5,8,2014
Jerry Jeudy,WR,DEN,1,38,38,72,3,11,13,13,3.9,10.3,8,2014
CeeDee Lamb,WR,DAL,1,65,65,89,0,12,9,12,11.2,17.2,8,2014
D'Andre Swift,RB,DET,1,44,44,71,27,11,39,39,3.1,7.0,8,2014
Tee Higgins,WR,CIN,1,42,42,76,0,14,10,14,9.7,23.1,8,2014
Jonathan Taylor,RB,IND,1,59,59,74,27,7,32,34,18.2,30.8,8,2014
Jalen Reagor,WR,PHI,1,12,12,18,17,17,25,33,2.1,17.5,8,2014
Laviska Shenault Jr.,WR,JAC,1,52,52,68,2,8,6,10,2.1,4.0,8,2014
DeVonta Smith,WR,PHI,1,44,44,68,0,7,2,7,1.5,3.4,8,2014
Cole Kmet,TE,CHI,1,63,63,90,0,10,5,10,2.4,3.8,8,2014
Justin Jefferson,WR,MIN,1,47,47,71,0,9,6,11,2.1,4.5,8,2014
Brandon Aiyuk,WR,SF,1,49,49,88,0,14,8,14,6.5,13.3,8,2014
Zack Moss,RB,BUF,1,47,47,64,17,15,30,32,5.8,12.3,8,2014
Jalen Hurts,QB,PHI,1,51,51,78,14,0,41,41,11.2,22.0,8,2014
Michael Pittman Jr.,WR,IND,1,77,77,96,0,19,13,19,20.6,26.8,8,2014
Najee Harris,RB,PIT,1,62,62,84,42,5,47,47,18.0,29.0,8,2014
La'Mical Perine,RB,NYJ,1,6,6,7,17,0,17,17,0.3,5.0,8,2014
Denzel Mims,WR,NYJ,1,59,59,70,0,5,3,5,3.0,5.1,8,2014
AJ Dillon,RB,GB,1,29,29,40,55,0,55,55,7.8,26.9,8,2014
Anthony McFarland Jr.,RB,PIT,1,7,7,9,14,0,14,14,0.1,1.4,8,2014
Harrison Bryant,TE,CLE,1,23,23,39,0,9,9,9,3.3,14.3,8,2014
Gabriel Davis,WR,BUF,1,32,32,44,0,16,13,16,8.9,27.8,8,2014
Adam Trautman,TE,NO,1,66,66,87,0,9,3,9,0.4,0.6,8,2014
Salvon Ahmed,RB,MIA,1,16,16,23,44,13,50,56,2.8,17.5,8,2014
Josiah Deguara,TE,GB,1,16,16,22,0,13,13,13,2.0,12.5,8,2014
Van Jefferson,WR,LAR,1,56,56,84,0,11,5,11,8.8,15.7,8,2014
Luke Farrell,TE,JAC,1,18,18,24,0,11,6,11,0.3,1.7,8,2014
Marquez Callaway,WR,NO,1,59,59,78,0,8,5,8,3.0,5.1,8,2014
DeeJay Dallas,RB,SEA,1,2,2,4,50,0,50,50,0.6,30.0,8,2014
Larry Rountree III,RB,LAC,1,8,8,13,50,0,50,50,1.1,13.8,8,2014
Juwan Johnson,TE,NO,1,17,17,22,0,6,0,6,0.0,0.0,8,2014
Scottie Phillips,RB,HOU,1,15,15,25,33,20,47,53,2.0,13.3,8,2014
Jauan Jennings,WR,SF,1,7,7,13,0,14,0,14,0.0,0.0,8,2014
Antonio Gibson,RB,WAS,1,23,23,33,35,13,48,48,5.4,23.5,8,2014
James Robinson,RB,JAC,1,8,8,11,50,25,63,75,3.9,48.8,8,2014
Charlie Woerner,TE,SF,1,45,45,80,0,4,2,4,0.7,1.6,8,2014
K.J. Osborn,WR,MIN,1,38,38,58,0,8,5,8,1.0,2.6,8,2014
Quez Watkins,WR,PHI,1,58,58,89,0,3,3,3,1.8,3.1,8,2014
Freddie Swain,WR,SEA,1,37,37,65,0,0,0,0,0.0,0.0,8,2014
Nick Westbrook-Ikhine,WR,TEN,1,23,23,32,0,13,9,13,7.6,33.0,8,2014
Giovanni Ricci,TE,CAR,1,16,16,22,0,0,0,0,0.0,0.0,8,2014
Trevor Lawrence,QB,JAC,1,76,76,100,4,0,75,75,13.6,17.9,8,2014
Justin Fields,QB,CHI,1,70,70,100,14,0,53,53,26.3,37.6,8,2014
Ja'Marr Chase,WR,CIN,1,52,52,95,2,17,8,19,10.1,19.4,8,2014
Jaylen Waddle,WR,MIA,1,65,65,94,0,17,6,17,2.9,4.5,8,2014
Chuba Hubbard,RB,CAR,1,41,41,55,59,5,61,63,13.1,32.0,8,2014
Rondale Moore,WR,ARI,1,36,36,61,6,11,14,17,0.5,1.4,8,2014
Amon-Ra St. Brown,WR,DET,1,45,45,73,0,11,7,11,4.6,10.2,8,2014
Darnell Mooney,WR,CHI,1,54,54,77,0,17,11,17,6.4,11.9,8,2014
Kendall Hinton,WR,DEN,1,2,2,4,0,0,0,0,0.0,0.0,8,2014
Jermar Jefferson,RB,DET,1,11,11,18,18,36,55,55,8.9,80.9,8,2014
Demetric Felton,RB,CLE,1,9,9,15,11,11,22,22,1.7,18.9,8,2014
Elijah Moore,WR,NYJ,1,30,30,36,3,20,23,23,7.1,23.7,8,2014
Ihmir Smith-Marsette,WR,MIN,1,11,11,17,0,9,9,9,0.6,5.5,8,2014
Kadarius Toney,WR,NYG,1,34,34,57,0,15,15,18,3.4,10.0,8,2014
Anthony Schwartz,WR,CLE,1,6,6,10,0,0,0,0,0.0,0.0,8,2014
Shi Smith,WR,CAR,1,24,24,32,0,4,4,4,-0.2,-0.8,8,2014
Nico Collins,WR,HOU,1,39,39,64,0,10,10,10,5.5,14.1,8,2014
Amari Rodgers,WR,GB,1,16,16,22,6,19,13,25,1.8,11.3,8,2014
Jaret Patterson,RB,WAS,1,16,16,23,69,6,69,75,4.6,28.8,8,2014
Mac Jones,QB,NE,1,77,77,100,5,0,51,51,11.7,15.2,8,2014
Brevin Jordan,TE,HOU,1,15,15,25,0,27,20,27,10.1,67.3,8,2014
Pat Freiermuth,TE,PIT,1,58,58,78,0,12,7,12,10.4,17.9,8,2014
Kyle Pitts,TE,ATL,1,44,44,83,0,14,5,14,1.3,3.0,8,2014
Rhamondre Stevenson,RB,NE,1,12,12,16,67,17,75,83,3.1,25.8,8,2014
Michael Carter,RB,NYJ,1,59,59,70,25,24,41,49,23.2,39.3,8,2014
Javonte Williams,RB,DEN,1,23,23,43,39,17,48,57,4.8,20.9,8,2014
Khalil Herbert,RB,CHI,1,59,59,84,39,3,42,42,6.8,11.5,8,2014
Tommy Tremble,TE,CAR,1,34,34,46,0,12,9,12,1.8,5.3,8,2014
Jaelon Darden,WR,TB,1,9,9,15,0,33,33,33,1.1,12.2,8,2014
Davis Mills,QB,HOU,1,61,61,100,0,0,62,62,21.4,35.1,8,2014
Dax Milne,WR,WAS,1,21,21,30,0,10,5,10,2.2,10.5,8,2014
Elijah Mitchell,RB,SF,1,36,36,64,50,0,50,50,19.7,54.7,8,2014
John Bates,TE,WAS,1,15,15,21,0,7,7,7,0.4,2.7,8,2014
Kylen Granson,TE,IND,1,10,10,13,0,10,10,10,0.0,0.0,8,2014
Ben Skowronek,WR,LAR,1,20,20,30,0,15,15,15,3.0,15.0,8,2014
Joshua Palmer,WR,LAC,1,8,8,13,0,13,13,13,8.4,105.0,8,2014
Jack Stoll,TE,PHI,1,42,42,65,0,2,2,2,0.9,2.1,8,2014
Kenneth Gainwell,RB,PHI,1,20,20,31,65,0,65,65,2.7,13.5,8,2014
Tory Carter,RB,TEN,1,8,8,11,0,0,0,0,0.0,0.0,8,2014
