rank,player,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
172.0,Alex Green,11.0,35.0,3.2,9.0,0.0,0.0,2.0,2.0,8.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,RB,2013,team
174.0,Jed Collins,15.0,45.0,3.0,12.0,0.0,1.0,14.0,18.0,54.0,3.9,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
175.0,Alfonso Smith,18.0,54.0,3.0,21.0,1.0,1.0,10.0,13.0,68.0,6.8,0.0,1.0,16.0,0.0,0.0,0.0,RB,2013,team
176.0,Tyler Clutts,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0,RB,2013,team
177.0,Phillip Tanner,9.0,12.0,1.3,9.0,0.0,1.0,3.0,4.0,33.0,11.0,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
179.0,Armond Smith,4.0,5.0,1.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,RB,2013,team
182.0,Stevan Ridley,178.0,773.0,4.3,29.0,3.0,7.0,10.0,12.0,62.0,6.2,0.0,4.0,14.0,0.0,0.0,0.0,RB,2013,team
183.0,Kendall Hunter,78.0,358.0,4.6,45.0,5.0,3.0,2.0,4.0,13.0,6.5,0.0,1.0,16.0,0.0,0.0,0.0,RB,2013,team
186.0,Andre Brown,139.0,492.0,3.5,23.0,1.0,3.0,20.0,29.0,103.0,5.2,0.0,3.0,8.0,0.0,0.0,0.0,RB,2013,team
187.0,Isaac Redman,10.0,12.0,1.2,8.0,0.0,0.0,4.0,5.0,14.0,3.5,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
188.0,Chris Ivory,182.0,833.0,4.6,69.0,8.0,3.0,2.0,7.0,10.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
189.0,Cedric Peerman,8.0,17.0,2.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
190.0,Joique Bell,166.0,650.0,3.9,20.0,1.0,8.0,53.0,69.0,547.0,10.3,0.0,3.0,16.0,0.0,0.0,0.2,RB,2013,team
191.0,LeGarrette Blount,153.0,772.0,5.0,47.0,5.0,7.0,2.0,5.0,38.0,19.0,0.0,2.0,16.0,0.0,0.0,0.1,RB,2013,team
192.0,James Starks,89.0,493.0,5.5,41.0,6.0,3.0,10.0,13.0,89.0,8.9,1.0,0.0,13.0,0.0,0.0,0.0,RB,2013,team
193.0,Deji Karim,12.0,51.0,4.3,14.0,0.0,0.0,1.0,2.0,-1.0,-1.0,0.0,0.0,7.0,0.0,0.0,0.0,RB,2013,team
194.0,John Conner,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,31.0,5.2,0.0,0.0,13.0,0.0,0.0,0.0,RB,2013,team
196.0,Shane Vereen,44.0,208.0,4.7,21.0,2.0,1.0,47.0,69.0,427.0,9.1,3.0,0.0,8.0,0.0,0.0,0.0,RB,2013,team
197.0,DeMarco Murray,217.0,1121.0,5.2,43.0,8.0,9.0,53.0,66.0,350.0,6.6,1.0,1.0,14.0,0.0,0.0,0.1,RB,2013,team
198.0,Jordan Todman,76.0,256.0,3.4,33.0,1.0,2.0,14.0,26.0,116.0,8.3,1.0,0.0,16.0,0.0,0.0,0.0,RB,2013,team
199.0,Jacquizz Rodgers,96.0,332.0,3.5,19.0,0.0,2.0,52.0,62.0,341.0,6.6,2.0,1.0,15.0,0.0,0.0,0.0,RB,2013,team
200.0,Daniel Thomas,109.0,406.0,3.7,55.0,1.0,4.0,15.0,17.0,63.0,4.2,2.0,0.0,15.0,0.0,0.0,0.0,RB,2013,team
201.0,Mikel Leshoure,2.0,9.0,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,RB,2013,team
