,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
250,Justin Jefferson,WR,MIN,1,46,46,96,2,15,13,17,17.1,37.2
251,Jake Fromm,QB,NYG,1,60,60,100,8,0,60,60,9.4,15.7
252,Jordan Love,QB,GB,1,37,37,54,3,0,49,49,9.3,25.1
253,Brandon Aiyuk,WR,SF,1,65,65,93,0,11,9,11,10.7,16.5
254,Zack Moss,RB,BUF,1,18,18,22,28,11,39,39,1.4,7.8
255,Cam Akers,RB,LAR,1,13,13,20,38,23,62,62,1.3,10.0
256,Devin Duvernay,WR,BAL,1,18,18,25,6,0,6,6,0.2,1.1
257,Michael Pittman Jr.,WR,IND,1,50,50,88,0,14,12,14,14.4,28.8
258,Tyler Huntley,QB,BAL,1,71,71,100,17,0,61,61,8.8,12.4
259,Donovan Peoples-Jones,WR,CLE,1,53,53,80,0,8,6,8,3.8,7.2
260,Najee Harris,RB,PIT,1,40,40,53,28,10,38,38,5.5,13.8
261,Denzel Mims,WR,NYJ,1,35,35,76,0,6,0,6,0.0,0.0
262,Ke'Shawn Vaughn,RB,TB,1,27,27,45,37,7,44,44,10.1,37.4
263,AJ Dillon,RB,GB,1,37,37,54,38,3,41,41,6.7,18.1
264,Eno Benjamin,RB,ARI,1,25,25,33,28,16,44,44,5.6,22.4
265,Colby Parkinson,TE,SEA,1,36,36,62,0,8,6,8,1.4,3.9
266,Harrison Bryant,TE,CLE,1,34,34,52,0,9,3,9,0.9,2.6
267,Gabriel Davis,WR,BUF,1,75,75,91,0,19,4,19,3.9,5.2
268,Adam Trautman,TE,NO,1,50,50,69,0,2,2,2,7.8,15.6
269,Josiah Deguara,TE,GB,1,29,29,43,0,14,10,14,12.6,43.4
270,Tony Jones Jr.,RB,NO,1,14,14,19,50,7,50,57,2.2,15.7
271,Van Jefferson,WR,LAR,1,45,45,69,0,7,4,7,3.1,6.9
272,Luke Farrell,TE,JAC,1,32,32,47,0,0,0,0,0.0,0.0
273,Marquez Callaway,WR,NO,1,46,46,64,0,2,0,2,0.0,0.0
274,Mitchell Wilcox,TE,CIN,1,47,47,87,0,11,6,11,1.6,3.4
275,DeeJay Dallas,RB,SEA,1,2,2,3,50,0,50,50,0.1,5.0
276,Tarik Black,WR,NYJ,1,19,19,41,0,11,5,11,1.0,5.3
277,Patrick Taylor Jr.,RB,GB,1,31,31,46,35,6,42,42,11.6,37.4
278,Juwan Johnson,TE,NO,1,11,11,15,0,18,9,18,6.5,59.1
279,Jauan Jennings,WR,SF,1,44,44,63,0,16,14,16,21.4,48.6
280,Antonio Gibson,RB,WAS,1,32,32,54,66,9,69,75,21.1,65.9
281,Ty'Son Williams,RB,BAL,1,2,2,3,50,0,50,50,0.4,20.0
282,Jason Huntley,RB,PHI,1,31,31,42,42,3,42,45,5.1,16.5
283,Noah Togiai,TE,PHI,1,24,24,32,0,0,0,0,0.0,0.0
284,Ben Ellefson,TE,MIN,1,7,7,15,0,0,0,0,0.0,0.0
285,K.J. Osborn,WR,MIN,1,39,39,81,0,10,3,10,8.1,20.8
286,Quez Watkins,WR,PHI,1,31,31,42,0,23,16,23,14.4,46.5
287,Freddie Swain,WR,SEA,1,19,19,33,0,5,5,5,8.5,44.7
288,Ja'Marcus Bradley,WR,CLE,1,3,3,5,0,0,0,0,0.0,0.0
289,Nick Westbrook-Ikhine,WR,TEN,1,50,50,74,0,10,8,10,13.8,27.6
290,Giovanni Ricci,TE,CAR,1,9,9,12,0,0,0,0,0.0,0.0
291,Trevor Lawrence,QB,JAC,1,68,68,100,15,0,62,62,18.6,27.4
292,Ja'Marr Chase,WR,CIN,1,5,5,9,0,80,40,80,2.6,52.0
293,Jaylen Waddle,WR,MIA,1,61,61,90,0,11,8,11,8.7,14.3
294,Chuba Hubbard,RB,CAR,1,32,32,43,28,6,34,34,11.6,36.3
295,Rashod Bateman,WR,BAL,1,62,62,87,0,6,3,6,2.2,3.5
296,Amon-Ra St. Brown,WR,DET,1,56,56,97,2,18,16,20,18.1,32.3
297,Tylan Wallace,WR,BAL,1,5,5,7,0,20,0,20,0.0,0.0
298,Darnell Mooney,WR,CHI,1,74,74,90,0,22,16,22,12.6,17.0
299,Tyler Davis,TE,GB,1,24,24,35,0,4,0,4,0.0,0.0
300,Reggie Gilliam,RB,BUF,1,18,18,22,0,6,0,6,0.0,0.0
301,Jonathan Ward,RB,ARI,1,5,5,7,0,20,20,20,0.2,4.0
302,Demetric Felton,RB,CLE,1,5,5,8,20,40,60,60,8.4,168.0
303,Mekhi Sargent,RB,JAC,1,2,2,3,50,50,50,100,0.2,10.0
304,Ihmir Smith-Marsette,WR,MIN,1,24,24,50,0,13,13,13,16.3,67.9
305,Dazz Newsome,WR,CHI,1,21,21,26,0,10,5,10,1.3,6.2
306,Anthony Schwartz,WR,CLE,1,36,36,55,3,8,6,11,1.6,4.4
307,Nico Collins,WR,HOU,1,41,41,72,0,17,7,17,6.7,16.3
308,Amari Rodgers,WR,GB,1,31,31,46,0,10,3,10,0.5,1.6
309,Jaret Patterson,RB,WAS,1,17,17,29,35,12,47,47,3.5,20.6
310,Mac Jones,QB,NE,1,62,62,100,5,0,53,53,11.8,19.0
311,Pat Freiermuth,TE,PIT,1,50,50,66,0,18,12,18,5.3,10.6
312,Kyle Pitts,TE,ATL,1,37,37,74,0,14,5,14,0.8,2.2
313,Dominique Dafney,TE,GB,1,15,15,22,0,7,7,7,2.6,17.3
314,Zach Wilson,QB,NYJ,1,46,46,100,4,0,48,48,9.9,21.5
315,Rhamondre Stevenson,RB,NE,1,9,9,15,44,22,56,67,3.6,40.0
316,Michael Carter,RB,NYJ,1,24,24,52,38,13,38,50,1.9,7.9
317,Javonte Williams,RB,DEN,1,30,30,56,40,7,47,47,6.4,21.3
318,Khalil Herbert,RB,CHI,1,17,17,21,24,0,24,24,1.1,6.5
319,Tommy Tremble,TE,CAR,1,42,42,57,2,12,7,14,1.1,2.6
320,Jaelon Darden,WR,TB,1,8,8,13,0,13,0,13,0.0,0.0
321,Chris Evans,RB,CIN,1,30,30,56,23,17,37,40,11.9,39.7
322,Davis Mills,QB,HOU,1,57,57,100,7,0,65,65,27.2,47.7
323,Tre' McKitty,TE,LAC,1,22,22,24,0,5,0,5,0.0,0.0
324,Elijah Mitchell,RB,SF,1,37,37,53,57,0,57,57,8.5,23.0
325,John Bates,TE,WAS,1,59,59,100,0,3,2,3,0.5,0.8
326,Ben Skowronek,WR,LAR,1,17,17,26,0,12,0,12,0.0,0.0
327,Joshua Palmer,WR,LAC,1,56,56,60,0,16,7,16,10.5,18.8
328,Kene Nwangwu,RB,MIN,1,1,1,2,100,0,100,100,0.4,40.0
329,Racey McMath,WR,TEN,1,12,12,18,0,8,0,8,0.0,0.0
330,Kenneth Gainwell,RB,PHI,1,39,39,53,31,18,41,49,14.7,37.7
331,JaQuan Hardy,RB,DAL,1,6,6,10,50,0,50,50,8.6,143.3
332,Brock Wright,TE,DET,1,42,42,72,0,5,5,5,11.1,26.4
333,Adam Prentice,RB,NO,1,25,25,35,4,4,8,8,0.3,1.2
334,C.J. Saunders,WR,CAR,1,15,15,20,0,13,13,13,1.1,7.3
