player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Matt Willis,1.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Wes Welker,3.0,5.0,14.0,4.7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Vincent Jackson,4.0,10.0,47.0,11.8,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Terrance Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Steve Smith,7.0,11.0,106.0,15.1,32.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Steve Johnson,4.0,10.0,55.0,13.8,29.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Sidney Rice,4.0,9.0,36.0,9.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Santonio Holmes,4.0,8.0,68.0,17.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Santana Moss,3.0,5.0,47.0,15.7,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Sammie Stroughter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Ruvell Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Martel Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Andre Roberts,5.0,9.0,54.0,10.8,19.0,0.0,1.0,1.0,15.0,0.0,0.0,1.0,12.9,LAC,WR,1,2012,LV,False
DeSean Jackson,4.0,11.0,77.0,19.3,35.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,8.2,LV,WR,1,2012,LAC,True
Randall Cobb,9.0,9.0,77.0,8.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,GB,WR,1,2012,SF,True
A.J. Green,5.0,11.0,70.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,ARI,WR,1,2012,SEA,True
Emmanuel Sanders,4.0,8.0,55.0,13.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,BUF,WR,1,2012,NYJ,False
Cole Beasley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BUF,WR,1,2012,NYJ,False
Travis Benjamin,1.0,6.0,12.0,12.0,12.0,0.0,0.0,1.0,35.0,0.0,0.0,1.0,4.7,SF,WR,1,2012,GB,False
Mohamed Sanu Sr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SF,WR,1,2012,GB,False
Josh Gordon,2.0,4.0,32.0,16.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.2,KC,WR,1,2012,ATL,True
Marvin Jones Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,JAC,WR,1,2012,MIN,False
Danny Amendola,5.0,9.0,70.0,14.0,17.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,HOU,WR,1,2012,MIA,True
Matthew Slater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,NE,WR,1,2012,TEN,False
A.J. Green,7.0,12.0,58.0,8.3,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.8,ARI,WR,2,2012,NE,False
DeSean Jackson,7.0,9.0,114.0,16.3,49.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.4,LV,WR,2,2012,MIA,False
Antonio Brown,7.0,10.0,79.0,11.3,25.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,8.8,FA,WR,2,2012,,
Julian Edelman,5.0,6.0,50.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,FA,WR,2,2012,,
Golden Tate,3.0,4.0,38.0,12.7,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,FA,WR,2,2012,,
Dez Bryant,3.0,7.0,17.0,5.7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7,FA,WR,2,2012,,
Alshon Jeffery,1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,FA,WR,2,2012,,
Larry Fitzgerald,1.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,FA,WR,2,2012,,
Rishard Matthews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
Keshawn Martin,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
Trevor Graham,1.0,1.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
Stephen Hill,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
Kris Adams,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
Damaris Johnson,1.0,1.0,13.0,13.0,13.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
Chris Givens,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
Drew Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,2,2012,,
