rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
389.0,Damian Williams,1.0,2.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TEN,WR,1,2013
390.0,Brandon LaFell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAR,WR,1,2013
391.0,Armanti Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CIN,WR,1,2013
392.0,Demaryius Thomas,5.0,11.0,161.0,32.2,78.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,DEN,WR,1,2013
393.0,Greg Little,4.0,10.0,26.0,6.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CLE,WR,1,2013
394.0,Austin Pettis,3.0,6.0,16.0,5.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,STL,WR,1,2013
395.0,Leonard Hankerson,5.0,7.0,80.0,16.0,27.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WAS,WR,1,2013
396.0,Torrey Smith,4.0,8.0,92.0,23.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BAL,WR,1,2013
397.0,Jerrel Jernigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYG,WR,1,2013
400.0,Kyle Williams,3.0,6.0,36.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CIN,WR,1,2013
401.0,Marlon Moore,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CIN,WR,1,2013
402.0,Mike Williams,4.0,8.0,52.0,13.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TB,WR,1,2013
405.0,Reggie Wayne,8.0,8.0,96.0,12.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,IND,WR,1,2013
406.0,Pierre Garcon,7.0,11.0,64.0,9.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WAS,WR,1,2013
407.0,Nate Washington,4.0,7.0,46.0,11.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TEN,WR,1,2013
408.0,Nate Burleson,6.0,6.0,78.0,13.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DET,WR,1,2013
409.0,Miles Austin,10.0,12.0,72.0,7.2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DAL,WR,1,2013
410.0,Mike Wallace,1.0,5.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MIA,WR,1,2013
414.0,Roddy White,2.0,2.0,19.0,9.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,WR,1,2013
415.0,Wes Welker,9.0,11.0,67.0,7.4,15.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,DEN,WR,1,2013
416.0,Vincent Jackson,7.0,13.0,154.0,22.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TB,WR,1,2013
419.0,Steve Smith,6.0,8.0,51.0,8.5,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CAR,WR,1,2013
420.0,Steve Johnson,3.0,6.0,39.0,13.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BUF,WR,1,2013
421.0,Sidney Rice,2.0,3.0,35.0,17.5,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SEA,WR,1,2013
422.0,Santonio Holmes,1.0,3.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NYJ,WR,1,2013
423.0,Santana Moss,5.0,9.0,54.0,10.8,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WAS,WR,1,2013
461.0,Andre Caldwell,1.0,1.0,28.0,28.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,DEN,WR,1,2013
502.0,Marquise Goodwin,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-2.0,0.3,BUF,WR,1,2013
1.0,DeSean Jackson,9.0,15.0,193.0,21.4,61.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,25.3,25.3,4.4,PHI,WR,2,2013
2.0,Julio Jones,11.0,14.0,182.0,16.5,81.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,24.2,24.2,60.7,ATL,WR,2,2013
3.0,Dez Bryant,9.0,13.0,141.0,15.7,53.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,20.1,20.1,2.6,DAL,WR,2,2013
4.0,Randall Cobb,9.0,10.0,128.0,14.2,35.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,18.8,18.8,7.6,GB,WR,2,2013
