Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Devin Duvernay,WR,BAL,16,348,22,34,1,7,7,9,33.1,9.5
Jalen Hurts,QB,PHI,15,333,22,31,19,0,64,64,112.5,33.8
Michael Pittman Jr.,WR,IND,13,702,54,78,0,9,6,9,58.9,8.4
Tyler Huntley,QB,BAL,2,28,14,20,36,0,54,54,2.9,10.4
Donovan Peoples-Jones,WR,CLE,12,269,22,34,0,7,5,7,44.4,16.5
Clyde Edwards-Helaire,RB,KC,12,501,42,58,33,10,40,43,130.9,26.1
John Hightower,WR,PHI,13,347,27,38,0,8,3,9,18.8,5.4
KJ Hill Jr.,WR,LAC,15,147,10,13,0,7,5,7,5.3,3.6
La'Mical Perine,RB,NYJ,10,200,20,31,32,8,38,40,41.5,20.8
Antonio Gandy-Golden,WR,WAS,6,122,20,31,1,6,2,7,2.5,2.0
Denzel Mims,WR,NYJ,9,439,49,82,0,10,5,10,37.7,8.6
LeVante Bellamy,RB,DEN,5,9,2,2,44,11,56,56,1.6,17.8
Ke'Shawn Vaughn,RB,TB,10,99,10,15,26,10,31,36,18.3,18.5
AJ Dillon,RB,GB,11,97,9,14,47,2,49,49,38.3,39.5
James Proche II,WR,BAL,14,25,2,3,0,12,4,12,1.4,5.6
Anthony McFarland Jr.,RB,PIT,11,89,8,11,37,11,44,48,16.7,18.8
Colby Parkinson,TE,SEA,6,51,9,13,0,4,4,4,1.6,3.1
Harrison Bryant,TE,CLE,15,591,39,59,0,6,4,6,37.8,6.4
Quintez Cephus,WR,DET,13,365,28,43,0,10,5,10,46.9,12.8
Gabriel Davis,WR,BUF,16,797,50,73,0,8,5,8,101.9,12.8
Darrynton Evans,RB,TEN,5,33,7,10,42,12,48,55,14.1,42.7
Adam Trautman,TE,NO,15,393,26,39,0,4,4,4,23.1,5.9
Devin Asiasi,TE,NE,8,205,26,42,0,3,1,3,9.9,4.8
J.J. Taylor,RB,NE,6,50,8,13,46,4,48,50,11.4,22.8
Joshua Kelley,RB,LAC,14,297,21,28,37,8,45,45,58.2,19.6
Salvon Ahmed,RB,MIA,6,205,34,51,37,7,42,43,58.0,28.3
Josiah Deguara,TE,GB,2,31,16,22,0,6,3,6,1.2,3.9
Joe Reed,WR,LAC,11,27,2,3,19,4,19,22,8.9,33.0
Rodney Smith,RB,CAR,7,133,19,30,31,8,38,39,27.5,20.7
Tony Jones Jr.,RB,NO,1,5,5,8,60,0,60,60,1.3,26.0
Van Jefferson,WR,LAR,15,253,17,24,0,12,8,12,26.5,10.5
Adrian Killins Jr.,RB,PHI,1,8,8,13,13,13,25,25,-1.0,-12.5
Marquez Callaway,WR,NO,11,266,24,36,0,10,8,10,21.3,8.0
DeeJay Dallas,RB,SEA,12,147,12,18,23,14,35,37,39.9,27.1
Artavis Pierce,RB,CHI,5,13,3,4,46,0,46,46,9.4,72.3
Juwan Johnson,TE,NO,7,182,26,38,0,5,2,5,3.9,2.1
Dalton Keene,TE,NE,6,140,23,40,0,4,2,4,1.6,1.1
Scottie Phillips,RB,HOU,8,9,1,2,22,11,33,33,1.6,17.8
Lynn Bowden Jr.,WR,MIA,10,336,34,47,3,11,12,14,25.6,7.6
Isaiah Wright,WR,WAS,14,347,25,36,1,10,9,11,19.3,5.6
