player,team,position,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Dante Pettis,NYG,WR,3,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.333333333333333,296.0,79.0
Tim Patrick,DEN,WR,16,4.0,4.0,5.0,6.0,9.0,6.0,5.0,3.0,5.0,6.0,0.0,3.0,5.0,5.0,5.0,4.0,0.0,10.0,85.0,5.3125,57.5,80.0
Van Jefferson,LAR,WR,17,3.0,3.0,6.0,6.0,4.0,4.0,7.0,6.0,7.0,7.0,0.0,9.0,8.0,3.0,2.0,6.0,5.0,3.0,89.0,5.235294117647059,53.0,81.0
Jared Cook,LAC,TE,16,8.0,5.0,3.0,7.0,3.0,7.0,0.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,7.0,5.0,0.0,7.0,83.0,5.1875,63.5,82.0
Alvin Kamara,NO,RB,13,4.0,6.0,4.0,0.0,8.0,0.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,6.0,2.0,67.0,5.153846153846154,86.0,83.0
Henry Ruggs III,LV,WR,7,5.0,7.0,7.0,6.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.142857142857143,197.0,84.5
Emmanuel Sanders,BUF,WR,14,8.0,6.0,6.0,6.0,5.0,8.0,0.0,4.0,8.0,2.0,5.0,3.0,6.0,1.0,0.0,4.0,0.0,0.0,72.0,5.142857142857143,75.0,84.5
Tyler Conklin,MIN,TE,17,4.0,4.0,8.0,6.0,3.0,5.0,0.0,7.0,7.0,5.0,3.0,3.0,9.0,2.0,3.0,5.0,9.0,4.0,87.0,5.117647058823529,55.5,86.0
Dallas Goedert,PHI,TE,15,5.0,2.0,4.0,5.0,3.0,0.0,5.0,7.0,6.0,2.0,8.0,3.0,6.0,0.0,9.0,4.0,7.0,0.0,76.0,5.066666666666666,70.5,87.0
Logan Thomas,WAS,TE,5,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,235.5,89.5
Rodney Smith,CAR,RB,1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,403.0,89.5
Tre'Quan Smith,NO,WR,10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,7.0,8.0,5.0,7.0,3.0,3.0,0.0,0.0,7.0,50.0,5.0,142.0,89.5
Marquez Valdes-Scantling,GB,WR,11,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,9.0,0.0,5.0,7.0,0.0,3.0,1.0,55.0,5.0,124.5,89.5
Marquez Callaway,NO,WR,17,2.0,4.0,5.0,2.0,8.0,0.0,7.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,9.0,5.0,10.0,1.0,84.0,4.9411764705882355,60.5,92.5
Brandon Aiyuk,SF,WR,17,0.0,2.0,6.0,3.0,4.0,0.0,1.0,7.0,8.0,4.0,7.0,6.0,6.0,10.0,2.0,5.0,6.0,7.0,84.0,4.9411764705882355,60.5,92.5
Pat Freiermuth,PIT,TE,16,1.0,4.0,5.0,1.0,2.0,7.0,0.0,7.0,6.0,9.0,7.0,4.0,4.0,3.0,4.0,0.0,6.0,9.0,79.0,4.9375,67.0,94.0
Mecole Hardman,KC,WR,17,3.0,8.0,4.0,3.0,12.0,5.0,5.0,7.0,6.0,3.0,3.0,0.0,1.0,2.0,4.0,5.0,1.0,11.0,83.0,4.882352941176471,63.5,95.0
Evan Engram,NYG,TE,15,0.0,0.0,6.0,6.0,4.0,5.0,8.0,4.0,3.0,0.0,5.0,6.0,5.0,4.0,5.0,5.0,2.0,5.0,73.0,4.866666666666666,73.5,96.0
James O'Shaughnessy,JAC,TE,7,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,6.0,4.0,4.0,0.0,0.0,34.0,4.857142857142857,201.5,97.0
K.J. Osborn,MIN,WR,17,9.0,6.0,2.0,7.0,4.0,7.0,0.0,3.0,2.0,1.0,4.0,2.0,7.0,9.0,3.0,7.0,5.0,4.0,82.0,4.823529411764706,65.5,98.0
J.D. McKissic,WAS,RB,11,1.0,6.0,2.0,5.0,4.0,10.0,6.0,8.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.818181818181818,130.0,99.0
Julio Jones,TEN,WR,10,6.0,8.0,4.0,0.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,9.0,48.0,4.8,151.0,100.0
Danny Amendola,HOU,WR,8,5.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,7.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,38.0,4.75,188.0,101.0
Dawson Knox,BUF,TE,15,4.0,3.0,5.0,8.0,4.0,3.0,0.0,0.0,0.0,1.0,10.0,3.0,6.0,9.0,5.0,3.0,2.0,5.0,71.0,4.733333333333333,77.0,102.0
Dan Arnold,JAC,TE,11,3.0,4.0,4.0,2.0,8.0,5.0,0.0,10.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.7272727272727275,135.0,103.0
Hunter Henry,NE,TE,16,3.0,4.0,6.0,5.0,8.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,0.0,0.0,8.0,6.0,5.0,6.0,75.0,4.6875,72.0,104.0
James White,NE,RB,3,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.666666666666667,308.5,105.5
Zay Jones,LV,WR,15,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,3.0,2.0,7.0,5.0,7.0,9.0,8.0,10.0,8.0,70.0,4.666666666666667,79.5,105.5
Rondale Moore,ARI,WR,14,5.0,8.0,2.0,3.0,6.0,4.0,3.0,4.0,5.0,4.0,11.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,64.0,4.571428571428571,93.5,107.0
Deonte Harty,NO,WR,13,2.0,2.0,3.0,8.0,1.0,0.0,0.0,7.0,8.0,4.0,5.0,5.0,8.0,0.0,0.0,0.0,2.0,4.0,59.0,4.538461538461538,110.0,108.0
Darius Slayton,NYG,WR,13,7.0,6.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,7.0,4.0,7.0,3.0,3.0,5.0,0.0,3.0,58.0,4.461538461538462,113.0,109.0
Ricky Seals-Jones,WAS,TE,11,0.0,1.0,0.0,4.0,9.0,6.0,7.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,7.0,1.0,2.0,0.0,49.0,4.454545454545454,146.5,111.0
Josh Reynolds,DET,WR,11,0.0,0.0,0.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,5.0,7.0,5.0,6.0,7.0,0.0,3.0,49.0,4.454545454545454,146.5,111.0
Sammy Watkins,BAL,WR,11,8.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,49.0,4.454545454545454,146.5,111.0
