player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Sammy Watkins,BAL,11,8.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,41.0,3.727272727272727,98.0,93.0
Albert Wilson,MIA,10,2.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,4.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,37.0,3.7,106.5,94.5
T.Y. Hilton,IND,10,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,5.0,2.0,5.0,2.0,0.0,1.0,5.0,3.0,5.0,37.0,3.7,106.5,94.5
Nick Westbrook-Ikhine,TEN,15,2.0,1.0,4.0,8.0,0.0,3.0,0.0,3.0,1.0,1.0,8.0,6.0,0.0,3.0,7.0,3.0,2.0,5.0,55.0,3.6666666666666665,74.5,96.0
Keelan Cole Sr.,NYJ,14,0.0,0.0,2.0,4.0,3.0,0.0,2.0,5.0,8.0,6.0,1.0,2.0,0.0,6.0,2.0,2.0,5.0,3.0,51.0,3.642857142857143,82.5,97.0
Byron Pringle,KC,16,2.0,2.0,6.0,2.0,2.0,3.0,6.0,2.0,0.0,5.0,2.0,0.0,4.0,1.0,4.0,7.0,4.0,8.0,58.0,3.625,64.5,98.5
Braxton Berrios,NYJ,16,7.0,11.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,10.0,1.0,6.0,12.0,0.0,58.0,3.625,64.5,98.5
Breshad Perriman,TB,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,3.0,6.0,18.0,3.6,138.0,100.0
Olamide Zaccheaus,ATL,15,0.0,4.0,6.0,3.0,4.0,0.0,1.0,1.0,3.0,7.0,5.0,2.0,5.0,0.0,2.0,4.0,3.0,3.0,53.0,3.533333333333333,79.0,101.0
Adam Humphries,WAS,17,2.0,8.0,4.0,1.0,5.0,2.0,4.0,3.0,0.0,1.0,2.0,2.0,5.0,7.0,6.0,6.0,2.0,2.0,60.0,3.5294117647058822,60.0,102.0
