rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
131,Mack Brown,8,29,3.6,11,0,0,1,1,11,11.0,0,0,4,4.0,1.0,0.0,FA,2017,RB
132,James Develin,0,0,0.0,0,0,0,6,10,38,6.3,0,0,16,3.8,0.2,0.0,FA,2017,RB
133,Fitzgerald Toussaint,6,25,4.2,7,0,0,2,3,9,4.5,0,0,6,3.4,0.6,0.0,FA,2017,RB
134,Senorise Perry,8,30,3.8,12,0,0,1,1,3,3.0,0,0,16,3.3,0.2,0.0,FA,2017,RB
135,Jay Prosch,0,0,0.0,0,0,0,4,4,31,7.8,0,0,16,3.1,0.2,0.0,FA,2017,RB
136,Derrick Coleman,2,8,4.0,5,0,0,2,7,20,10.0,0,0,16,2.8,0.2,0.1,FA,2017,RB
137,De'Veon Smith,0,0,0.0,0,0,0,3,3,27,9.0,0,0,5,2.7,0.5,0.0,FA,2017,RB
138,Keith Smith,0,0,0.0,0,0,0,5,5,26,5.2,0,0,16,2.6,0.2,0.0,ATL,2017,RB
139,Patrick DiMarco,2,-2,-1.0,0,0,0,7,10,28,4.0,0,0,16,2.6,0.2,0.0,FA,2017,RB
140,Andre Williams,9,25,2.8,7,0,0,0,0,0,0.0,0,0,8,2.5,0.3,0.0,FA,2017,RB
141,Josh Ferguson,1,5,5.0,5,0,0,3,4,16,5.3,0,0,10,2.1,0.2,0.0,FA,2017,RB
142,David Fluellen,4,21,5.3,10,0,0,0,1,0,0.0,0,0,16,2.1,0.1,0.0,FA,2017,RB
143,Bobby Rainey,1,2,2.0,2,0,0,5,7,18,3.6,0,0,4,2.0,0.5,0.0,FA,2017,RB
144,Danny Vitale,0,0,0.0,0,0,0,3,5,19,6.3,0,0,15,1.9,0.1,0.0,FA,2017,RB
